,seed,seed,best_val_dice,best_val_dice,best_epoch,best_epoch,dice_val_epoch5,dice_val_epoch5,dice_val_epoch10,dice_val_epoch10,dice_val_epoch15,dice_val_epoch15,dice_val_epoch20,dice_val_epoch20,dice_val_epoch25,dice_val_epoch25,dice_val_epoch30,dice_val_epoch30,dice_val_epoch35,dice_val_epoch35,dice_val_epoch40,dice_val_epoch40,dice_val_epoch45,dice_val_epoch45,dice_val_epoch50,dice_val_epoch50,dice_val_epoch55,dice_val_epoch55,dice_val_epoch60,dice_val_epoch60,dice_val_epoch65,dice_val_epoch65,dice_val_epoch70,dice_val_epoch70,dice_val_epoch75,dice_val_epoch75,dice_val_epoch80,dice_val_epoch80,dice_val_epoch85,dice_val_epoch85,dice_val_epoch90,dice_val_epoch90,dice_val_epoch95,dice_val_epoch95,dice_val_epoch100,dice_val_epoch100
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR_B_layer2_init,42.0,,0.8521,,95.0,,0.661,,0.7757,,0.8024,,0.811,,0.8294,,0.8366,,0.8396,,0.8398,,0.8434,,0.844,,0.8455,,0.8472,,0.8492,,0.8499,,0.848,,0.8517,,0.8484,,0.8498,,0.8521,,0.8493,
KR_D_layer1_init,42.0,,0.8515,,95.0,,0.6715,,0.7759,,0.8059,,0.8071,,0.8237,,0.8322,,0.8336,,0.8349,,0.8385,,0.8411,,0.8438,,0.845,,0.8487,,0.8498,,0.8467,,0.8506,,0.8473,,0.8488,,0.8515,,0.8495,
