fraction_pct,baseline_frob,enc1l1_frob,delta_frob,baseline_cosine,enc1l1_cosine
10,0.000223,0.002810,0.002587,0.015625,0.999995
25,0.000743,0.002880,0.002138,0.015625,0.999995
50,0.000840,0.002751,0.001911,0.015625,0.999995
75,0.002038,0.002688,0.000650,0.015622,0.999995
100,0.001832,0.002629,0.000797,0.015622,0.999995
