,seed,seed,best_dice,best_dice,dice_val_epoch5,dice_val_epoch5,dice_val_epoch10,dice_val_epoch10,dice_val_epoch15,dice_val_epoch15,dice_val_epoch20,dice_val_epoch20,dice_val_epoch25,dice_val_epoch25,dice_val_epoch30,dice_val_epoch30,dice_val_epoch35,dice_val_epoch35,dice_val_epoch40,dice_val_epoch40,dice_val_epoch45,dice_val_epoch45,dice_val_epoch50,dice_val_epoch50,dice_val_epoch55,dice_val_epoch55,dice_val_epoch60,dice_val_epoch60,dice_val_epoch65,dice_val_epoch65,dice_val_epoch70,dice_val_epoch70,dice_val_epoch75,dice_val_epoch75,dice_val_epoch80,dice_val_epoch80,dice_val_epoch85,dice_val_epoch85,dice_val_epoch90,dice_val_epoch90,dice_val_epoch95,dice_val_epoch95,dice_val_epoch100,dice_val_epoch100
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_alllayers_init,446.8,434.5615,0.8024,0.0014,0.664,0.0145,0.7157,0.0119,0.7478,0.0124,0.7663,0.0098,0.7712,0.0095,0.7827,0.0016,0.7921,0.0045,0.7887,0.0058,0.792,0.004,0.7946,0.0051,0.7985,0.0058,0.7973,0.0038,0.7968,0.0019,0.7995,0.0011,0.7981,0.0028,0.7977,0.002,0.7983,0.0026,0.7977,0.0029,0.7988,0.0035,0.7982,0.0018
