group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35
A2_baseline,42,0.5,329,0.8334767194021315,25,True,0.7159315347671509,0.7976436898821876,0.8171953246707008,0.8258082355771746,0.8334767194021315,0.8275415216173444,0.8310879213469369
B2_layer1,42,0.5,329,0.8222701776595343,15,True,0.6945296213740394,0.7895264057886033,0.8222701776595343,0.8197556961150396,0.820860451176053,,
A2_baseline,42,1.0,658,0.8489781930333092,26,True,0.7918089372771127,0.8197133881705148,0.8430181684948149,0.8463085378919329,0.846359255768004,0.8491828242937723,0.8352507750193278
B2_layer1,42,1.0,658,0.8457835004443214,21,True,0.7964339341436114,0.8220090866088867,0.838868342694782,0.839384172643934,0.8441986668677557,0.8386225473313105,
