sample,iou,dice,pred_px,gt_px,total_px
1,0.7136,0.8329,16457,18692,262144
2,0.7556,0.8608,14773,13585,262144
3,0.7173,0.8354,6201,4474,262144
4,0.6895,0.8162,7334,5239,262144
5,0.454,0.6245,39418,17897,262144
6,0.6585,0.7941,37042,24727,262144
7,0.831,0.9077,21569,19519,262144
8,0.7585,0.8627,40757,33303,262144
9,0.7614,0.8645,11498,10766,262144
10,0.6221,0.767,10762,8002,262144
