fraction_pct,baseline_frob,enc1l1_frob,delta_frob,baseline_cosine,enc1l1_cosine
10,0.000301,0.001738,0.001437,0.015625,0.999998
25,0.000784,0.002951,0.002167,0.015625,0.999995
50,0.000955,0.002141,0.001186,0.015625,0.999997
75,0.001736,0.002349,0.000613,0.015624,0.999996
100,0.002110,0.002367,0.000257,0.015623,0.999996
