,seed,seed,best_val_dice,best_val_dice,best_epoch,best_epoch,dice_val_epoch5,dice_val_epoch5,dice_val_epoch10,dice_val_epoch10,dice_val_epoch15,dice_val_epoch15,dice_val_epoch20,dice_val_epoch20,dice_val_epoch25,dice_val_epoch25,dice_val_epoch30,dice_val_epoch30,dice_val_epoch35,dice_val_epoch35,dice_val_epoch40,dice_val_epoch40,dice_val_epoch45,dice_val_epoch45,dice_val_epoch50,dice_val_epoch50,dice_val_epoch55,dice_val_epoch55,dice_val_epoch60,dice_val_epoch60,dice_val_epoch65,dice_val_epoch65,dice_val_epoch70,dice_val_epoch70,dice_val_epoch75,dice_val_epoch75,dice_val_epoch80,dice_val_epoch80
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_baseline,123.0,,0.9323,,62.0,,0.9074,,0.9149,,0.9189,,0.9239,,0.9248,,0.9254,,0.9276,,0.9299,,0.9296,,0.9307,,0.9313,,0.9305,,0.9317,,0.9304,,0.931,,0.9313,
FT_B_layer2_init,82.5,57.2756,0.9314,0.0001,48.5,4.9497,0.9064,0.0003,0.9147,0.0005,0.9191,0.001,0.9246,0.001,0.9255,0.0009,0.9274,0.0008,0.9273,0.0004,0.9292,0.0006,0.9302,0.0016,0.9292,0.0016,0.9307,0.0001,0.93,0.0004,0.9304,0.0011,0.9302,0.0007,0.9306,0.0003,0.9307,0.0009
