fraction_pct,baseline_frob,blayer1_frob,delta_frob,baseline_cosine,blayer1_cosine
10,0.006824,0.005029,-0.001795,0.999971,0.999984
25,0.009452,0.007353,-0.002099,0.999943,0.999968
50,0.011947,0.008468,-0.003479,0.999914,0.999958
75,0.014642,0.008860,-0.005781,0.999876,0.999955
100,0.019499,0.010925,-0.008574,0.999803,0.999938
