sample,iou,dice,pred_px,gt_px,total_px
1,0.8451,0.916,17210,18692,262144
2,0.7029,0.8255,15579,13585,262144
3,0.5769,0.7317,7755,4474,262144
4,0.6201,0.7655,8449,5239,262144
5,0.5283,0.6914,33872,17897,262144
6,0.7614,0.8645,29087,24727,262144
7,0.7727,0.8718,22260,19519,262144
8,0.7949,0.8857,35803,33303,262144
9,0.7713,0.8709,12750,10766,262144
10,0.577,0.7318,10771,8002,262144
