group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50
A_baseline,42,0.1,65,0.7021436634517851,24,False,0.6078507616406396,0.6792142731802804,0.6940597097078959,0.7001108470417204,0.7020846832366217,,,,,
B_enc1,42,0.1,65,0.7209061015219915,23,False,0.5569916438488733,0.6834449881599063,0.7105416570390973,0.719756197361719,0.7208854243868873,,,,,
A_baseline,42,0.25,164,0.7599987501189822,29,False,0.695460475626446,0.7195060366675967,0.7461586935179574,0.7518537867636907,0.7578995994159153,0.7594129386402312,,,,
B_enc1,42,0.25,164,0.7736347204162961,26,False,0.6985348349525815,0.7469742383275714,0.7582580248514811,0.7680909917468116,0.7692623848006839,0.7734951064700172,,,,
A_baseline,42,0.5,329,0.7949905367124648,38,False,0.7261031866073608,0.7482588489850363,0.7824051380157471,0.7773567125910804,0.7873586614926656,0.7907151608240037,0.7940153422809783,0.7938407205400013,,
B_enc1,42,0.5,329,0.8064537303788322,28,True,0.7492306629816691,0.7704851343518212,0.7884204330898467,0.7953717339606512,0.8029359948067438,0.8016400535901388,0.8061434229214987,,,
A_baseline,42,0.75,493,0.8122434616088867,42,False,0.7492421922229585,0.7755904822122484,0.7839943057014829,0.7931159223828997,0.8030562684649513,0.8079421435083661,0.8103649814923605,0.8107671056474958,0.8120443906102862,
B_enc1,42,0.75,493,0.8197322544597444,36,False,0.7576468274706886,0.7933712402979533,0.7998593563125247,0.8015573819478353,0.8169699878919692,0.8164525940304711,0.8177933295567831,0.8182443153290522,0.8193346744491941,
A_baseline,42,1.0,658,0.8150169310115633,38,True,0.7716949837548392,0.7656006273769197,0.7951349644433885,0.8112484159923735,0.8057793946493239,0.8090661678995404,0.8129403591156006,0.8131574136870248,0.8146723281769526,
B_enc1,42,1.0,658,0.8245452897889274,49,False,0.77212697551364,0.8039622022992089,0.8151221530778068,0.8189705070995149,0.8197662887119112,0.8177529686973208,0.8227347163926988,0.8243350925899687,0.8238085792178199,0.8240572384425572
