Train Fraction,Baseline Test Dice,Enc1 Test Dice,Baseline Test IoU,Enc1 Test IoU,Target Dice (min best),Baseline Epoch @ Target,Enc1 Epoch @ Target
10%,0.6890,0.7042,0.5501,0.5626,0.6890,24,13
25%,0.7454,0.7507,0.6163,0.6178,0.7454,29,18
50%,0.7883,0.7966,0.6656,0.6735,0.7883,38,19
75%,0.8096,0.8145,0.6923,0.6985,0.8096,41,24
100%,0.8163,0.8205,0.7013,0.7074,0.8163,38,29
