,seed,seed,best_val_dice,best_val_dice,best_epoch,best_epoch,dice_val_epoch5,dice_val_epoch5,dice_val_epoch10,dice_val_epoch10,dice_val_epoch15,dice_val_epoch15,dice_val_epoch20,dice_val_epoch20,dice_val_epoch25,dice_val_epoch25,dice_val_epoch30,dice_val_epoch30,dice_val_epoch35,dice_val_epoch35,dice_val_epoch40,dice_val_epoch40,dice_val_epoch45,dice_val_epoch45,dice_val_epoch50,dice_val_epoch50,dice_val_epoch55,dice_val_epoch55,dice_val_epoch60,dice_val_epoch60,dice_val_epoch65,dice_val_epoch65,dice_val_epoch70,dice_val_epoch70,dice_val_epoch75,dice_val_epoch75,dice_val_epoch80,dice_val_epoch80
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR_B_layer2_init,189.5,94.0452,0.7726,0.0007,58.0,7.0711,0.6417,0.0517,0.6957,0.0261,0.7291,0.023,0.7451,0.0099,0.7532,0.0077,0.7566,0.0156,0.7628,0.0005,0.761,0.0101,0.768,0.0008,0.7622,0.0094,0.7664,0.0018,0.7669,0.0012,0.7664,0.0016,0.7658,0.0037,0.7632,0.0068,0.77,0.0023
KR_D_layer1_init,189.5,94.0452,0.7683,0.0041,63.0,21.2132,0.6488,0.0389,0.6975,0.0124,0.7327,0.0107,0.7372,0.0098,0.7452,0.0082,0.7509,0.0102,0.7534,0.0011,0.755,0.0108,0.7642,0.0035,0.7596,0.0072,0.7665,0.0049,0.763,0.0,0.7616,0.0068,0.7594,0.0079,0.7591,0.0098,0.765,0.0015
