,seed,seed,best_val_dice,best_val_dice,best_epoch,best_epoch,dice_val_epoch5,dice_val_epoch5,dice_val_epoch10,dice_val_epoch10,dice_val_epoch15,dice_val_epoch15,dice_val_epoch20,dice_val_epoch20,dice_val_epoch25,dice_val_epoch25,dice_val_epoch30,dice_val_epoch30,dice_val_epoch35,dice_val_epoch35,dice_val_epoch40,dice_val_epoch40,dice_val_epoch45,dice_val_epoch45,dice_val_epoch50,dice_val_epoch50
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
group,,,,,,,,,,,,,,,,,,,,,,,,,,
A2_baseline,42.0,,0.8529,,41.0,,0.7975,,0.8211,,0.8316,,0.8452,,0.8311,,0.8481,,0.852,,0.8507,,0.8514,,0.8517,
F2_enc1_freeze5,42.0,,0.8516,,29.0,,0.7633,,0.8034,,0.8246,,0.8505,,0.8465,,0.8483,,0.851,,0.8495,,0.8493,,0.8497,
