Train Fraction,Baseline Test Dice,KR_Layer1 Test Dice,Baseline Test IoU,KR_Layer1 Test IoU,Target Dice (min best),Baseline Epoch @ Target,KR_Layer1 Epoch @ Target
10%,0.5133,0.4959,0.3659,0.3501,0.4959,55,43
25%,0.6300,0.6594,0.4811,0.5109,0.6300,61,50
50%,0.6637,0.6885,0.5177,0.5458,0.6637,41,41
75%,0.6777,0.6893,0.5354,0.5477,0.6777,43,37
100%,0.7450,0.7475,0.6140,0.6173,0.7450,56,56
