group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50,dice_val_epoch55,dice_val_epoch60
C_rand_enc1,42,0.1,65,0.7571633372988019,53,True,0.5567436672392345,0.6915991930734544,0.712370290642693,0.7181045044036138,0.7387078092211768,0.7420191112018767,0.7477528169041588,0.7490563619704473,0.7530432144800822,0.75074850661414,0.7528450176829383,0.7562161343438285
C_rand_enc1,42,0.25,164,0.7983094907942272,51,True,0.6936456901686532,0.7405319071951366,0.7637493241400946,0.7433528275716872,0.7774748972484044,0.773318520614079,0.7906254019056048,0.7911619515646071,0.79544236546471,0.7960964356149945,0.7932779675438291,0.7920199604261489
C_rand_enc1,42,0.5,329,0.8189467560677302,48,True,0.7456717547916231,0.7683214602016267,0.7883695761362711,0.7919629783857436,0.80481694709687,0.8013152678807577,0.8139105836550394,0.8039166302908034,0.812220451377687,0.8165987417811439,0.8161838281722296,
C_rand_enc1,42,0.75,493,0.825190992582412,41,True,0.7556737377530053,0.7929323457536244,0.800735993044717,0.8047109444936117,0.8090696732203165,0.818732602255685,0.8225639263788859,0.8122984994025457,0.8219790770894005,0.8232151213146391,,
C_rand_enc1,42,1.0,658,0.8266603549321493,38,True,0.7674701895032611,0.7952573072342646,0.8041502890132722,0.8185542424519857,0.8202273732139951,0.8146186868349711,0.8227158784866333,0.8250702931767419,0.8183937413351876,,,
