group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50,dice_val_epoch55,dice_val_epoch60
A_baseline,42,0.1,100,0.590103305876255,43,True,0.2557620080187917,0.35486558359116316,0.450461202301085,0.42833657655864954,0.4773724703118205,0.5244366964325309,0.5335726235061884,0.5551218325272202,0.5777089046314359,0.5728823654353619,,
B_enc1,42,0.1,100,0.5869464315474033,28,True,0.2109635933302343,0.37792618572711945,0.42392806336283684,0.4447862012311816,0.5185262644663453,0.5352174500003457,0.5476001473143697,,,,,
A_baseline,42,0.25,250,0.6349087711423635,21,True,0.3132322169840336,0.5009601768106222,0.5875463392585516,0.5921477563679218,0.6165250651538372,0.6221705907955766,,,,,,
B_enc1,42,0.25,250,0.6638507079333067,18,True,0.4619322009384632,0.5762633383274078,0.5831064525991678,0.6424320228397846,0.5991048188880086,,,,,,,
A_baseline,42,0.5,501,0.6771384589374065,54,True,0.5360743310302496,0.5829654820263386,0.5908472388982773,0.6155353877693415,0.631073459982872,0.6392483236268163,0.6333735464140773,0.6511809397488832,0.6486805994063616,0.6567325796931982,0.6695907227694988,0.6449024472385645
B_enc1,42,0.5,501,0.653193554840982,17,True,0.5724850362166762,0.5970200365409255,0.6062757456675172,0.6083259265869856,0.6527922246605158,,,,,,,
A_baseline,42,0.75,751,0.6408951319754124,13,True,0.580368428491056,0.6155803240835667,0.6251618843525648,0.6302904849871993,,,,,,,,
B_enc1,42,0.75,751,0.6420410498976707,7,True,0.6302110236138105,0.6325377356261015,0.6035429378971457,,,,,,,,,
A_baseline,42,1.0,1002,0.7029374614357948,34,True,0.5720650507137179,0.6200579665601254,0.6408142941072583,0.6330291610211134,0.6639498472213745,0.6654896084219217,0.6828611362725496,0.6720489859580994,,,,
B_enc1,42,1.0,1002,0.7177629377692938,25,True,0.5758020849898458,0.6053207805380225,0.5976396603509784,0.6593232490122318,0.7177629377692938,0.6641193684190512,0.6679484695196152,,,,,
