Train Fraction,Baseline Test Dice,Rand-Enc1 Test Dice,Baseline Test IoU,Rand-Enc1 Test IoU,Target Dice (min best),Baseline Epoch @ Target,Rand-Enc1 Epoch @ Target
10%,0.7465,0.7388,0.6163,0.6062,0.7388,44,53
25%,0.7734,0.7814,0.6504,0.6588,0.7734,59,38
50%,0.7853,0.8129,0.6608,0.6962,0.7853,24,19
75%,0.8168,0.8209,0.7018,0.7069,0.8168,41,31
100%,0.8107,0.8233,0.6945,0.7103,0.8107,24,20
