group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50,dice_val_epoch55,dice_val_epoch60,dice_val_epoch65,dice_val_epoch70,dice_val_epoch75,dice_val_epoch80
A_baseline,42,0.1,100,0.511849919334054,74,True,0.1722023526672274,0.1945241941139102,0.2486350229009986,0.33742105681449175,0.410541407763958,0.4093374041840434,0.448361131362617,0.471976138651371,0.4528639428317547,0.47674389835447073,0.4941137945279479,0.48109349235892296,0.4903035704046488,0.5070152785629034,0.5107157099992037,0.5082474043592811
B_layer1,42,0.1,100,0.49830422829836607,62,True,0.1743614620063454,0.19998774328269064,0.2578743603080511,0.3363548186607659,0.38637805078178644,0.4196280539035797,0.4506527381017804,0.45236856024712324,0.47332789469510317,0.48150890972465277,0.48705501668155193,0.4743717610836029,0.48221972305327654,0.4887898499146104,,
A_baseline,42,0.25,250,0.6354985721409321,61,True,0.23942952137440443,0.45663666259497404,0.5283370157703757,0.5560377817600965,0.536546534858644,0.5511680878698826,0.5823019733652472,0.6048092693090439,0.6034116940572858,0.6162673411890864,0.6280026463791728,0.6122349444776773,0.6120758494362235,0.6298301331698895,,
B_layer1,42,0.25,250,0.6407393356785178,61,True,0.23897918593138456,0.4336276901885867,0.5044558998197317,0.550811673514545,0.5635590711608529,0.5873748427256942,0.5927696619182825,0.616282538510859,0.6231590984389186,0.6349861174821854,0.6371544282883406,0.6158045306801796,0.6197398295626044,0.6302256509661674,,
A_baseline,42,0.5,501,0.6574317030608654,41,True,0.4626241950318217,0.5317034721374512,0.5442575979977846,0.5566006312146783,0.6229723896831274,0.622918943874538,0.6360782496631145,0.6317398669198155,0.6543763438239694,0.6422993298619986,,,,,,
B_layer1,42,0.5,501,0.6701173912733793,45,True,0.4520986136049032,0.5163109349086881,0.5344018572941422,0.5713241407647729,0.6309036305174232,0.6255253525450826,0.6502231797203422,0.6408073278144002,0.6701173912733793,0.6541065284982324,0.6541558559983969,,,,,
A_baseline,42,0.75,751,0.6729318592697382,43,True,0.5020378362387419,0.5525204902514815,0.5630121324211359,0.5830377480015159,0.5920923734083772,0.6452489160001278,0.6475923750549555,0.6508633112534881,0.6609665863215923,0.6497244043275714,,,,,,
B_layer1,42,0.75,751,0.6765473913401365,37,True,0.48408219404518604,0.5782987829297781,0.5936107477173209,0.5883631892502308,0.5930514391511679,0.650907033123076,0.6427651839330792,0.659316492266953,0.665860602632165,,,,,,,
A_baseline,42,1.0,1002,0.7270854003727436,65,True,0.49563578981906176,0.5688796145841479,0.6483121775090694,0.6175528932362795,0.6552761178463697,0.6570102199912071,0.6661079358309507,0.7047246620059013,0.6873798817396164,0.7056863121688366,0.7194794919341803,0.6945241633802652,0.7270854003727436,0.701518788933754,0.7094784453511238,
B_layer1,42,1.0,1002,0.731550257652998,61,True,0.5056065283715725,0.5884944060817361,0.6443154867738485,0.614594635553658,0.6610596161335707,0.6485094726085663,0.6655928995460272,0.6978498604148626,0.6918807849287987,0.7051531597971916,0.7215657904744148,0.6888477690517902,0.7260690610855818,0.7137634512037039,,
