group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50,dice_val_epoch55,dice_val_epoch60,dice_val_epoch65,dice_val_epoch70,dice_val_epoch75
A_baseline,42,0.1,100,0.5002814987674356,49,True,0.24509743670932949,0.30207003303803504,0.30073856841772795,0.36575208976864815,0.42448070738464594,0.44706367794424295,0.45078061148524284,0.47178155835717916,0.4800795642659068,0.4599050395190716,0.4891408095136285,,,,
B_enc1,42,0.1,100,0.5475347805768251,51,True,0.1836917786858976,0.32161619467660785,0.4059900473803282,0.453262971714139,0.4627909939736128,0.49829945527017117,0.4718191297724843,0.5243029920384288,0.5150215337052941,0.5243736039847136,0.5274675386026502,0.5135159688070416,,,
A_baseline,42,0.25,250,0.5737989386543632,69,True,0.29852616926655173,0.4502985244616866,0.44612305611371994,0.4970179069787264,0.49869394581764936,0.5349213918671012,0.547737549059093,0.508021404966712,0.5573292868211865,0.5473715467378497,0.5637510409578681,0.5605986444279552,0.5627597430720925,0.5723646376281977,0.5688172513619065
B_enc1,42,0.25,250,0.5915316427126527,37,True,0.3134654082823545,0.4634975539520383,0.5282562226057053,0.5353884389624,0.535130756907165,0.5644545266404748,0.5516116535291076,0.5553214969113469,0.5675799297168851,,,,,,
A_baseline,42,0.5,501,0.5840082326903939,30,True,0.4244906706735492,0.45210964046418667,0.517447093501687,0.5320143606513739,0.5553703913465142,0.5840082326903939,0.5666414387524128,0.5745558608323336,,,,,,,
B_enc1,42,0.5,501,0.6211599912494421,30,True,0.4891733229160309,0.5334280170500278,0.5356378788128495,0.5565720535814762,0.61584079451859,0.6211599912494421,0.6070751678198576,0.6172779286280274,,,,,,,
A_baseline,42,0.75,751,0.6122782360762358,43,True,0.45145314559340477,0.48870279267430305,0.5544242477044463,0.5657539190724492,0.5604781387373805,0.5829973323270679,0.5996939009055495,0.5941420635208488,0.5920128487050533,0.6022950438782573,,,,,
B_enc1,42,0.75,751,0.6428540358319879,43,True,0.49581289663910866,0.534639410674572,0.5941448537632823,0.5681610489264131,0.6031863745301962,0.6295864377170801,0.6391199380159378,0.6283385511487722,0.635437186807394,0.6295302510261536,,,,,
A_baseline,42,1.0,1002,0.6233081240206957,51,True,0.4993057046085596,0.547030620276928,0.553375381976366,0.5873495601117611,0.5851613664999604,0.5911083519458771,0.6109388452023268,0.60089161247015,0.6123835779726505,0.613743950612843,0.6212349627166986,0.6183904558420181,,,
B_enc1,42,1.0,1002,0.6551820412278175,41,True,0.5306863412261009,0.5871975151821971,0.6142772333696485,0.6080482918769121,0.6253948416560888,0.6228577392175794,0.6408237684518099,0.6423148661851883,0.6463674139231443,0.644635422155261,,,,,
