,seed,seed,best_val_dice,best_val_dice,best_epoch,best_epoch,dice_val_epoch5,dice_val_epoch5,dice_val_epoch10,dice_val_epoch10,dice_val_epoch15,dice_val_epoch15,dice_val_epoch20,dice_val_epoch20,dice_val_epoch25,dice_val_epoch25,dice_val_epoch30,dice_val_epoch30,dice_val_epoch35,dice_val_epoch35,dice_val_epoch40,dice_val_epoch40,dice_val_epoch45,dice_val_epoch45,dice_val_epoch50,dice_val_epoch50,dice_val_epoch55,dice_val_epoch55,dice_val_epoch60,dice_val_epoch60,dice_val_epoch65,dice_val_epoch65,dice_val_epoch70,dice_val_epoch70,dice_val_epoch75,dice_val_epoch75,dice_val_epoch80,dice_val_epoch80
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR_B_layer2_init,82.5,57.2756,0.9321,0.0001,60.0,5.6569,0.9057,0.002,0.9152,0.0022,0.9197,0.0002,0.9254,0.0003,0.9259,0.001,0.9274,0.001,0.9284,0.0002,0.9297,0.0016,0.9302,0.0008,0.9296,0.0001,0.9315,0.0001,0.9308,0.0005,0.9314,0.0002,0.9311,0.0004,0.9312,0.0002,0.9313,0.0006
KR_D_layer1_init,82.5,57.2756,0.931,0.001,61.5,3.5355,0.9086,0.0066,0.9173,0.0004,0.9211,0.0012,0.9262,0.001,0.9259,0.0007,0.9268,0.0002,0.9281,0.0008,0.929,0.0012,0.9295,0.0008,0.9289,0.0001,0.93,0.001,0.9295,0.0007,0.93,0.0017,0.93,0.001,0.9303,0.0015,0.9304,0.0017
