group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50,dice_val_epoch55,dice_val_epoch60,dice_val_epoch65,dice_val_epoch70,dice_val_epoch75
A_baseline,42,0.1,65,0.793128007934207,32,True,0.56273657367343,0.6884058373314994,0.7359863519668579,0.7380623703911191,0.7852587018694196,0.7823665766488939,0.7850177259672255,0.7890714378583998,,,,,,,
B_enc1,42,0.1,65,0.8248094064848763,69,True,0.4873283491248176,0.6937701049305144,0.7614642097836449,0.7512529293696085,0.7883115467571077,0.7899409986677624,0.8027296861012777,0.8006500601768494,0.8108298210870653,0.8105402163096836,0.813213070233663,0.8160587918190729,0.8224362674213591,0.8230536580085754,0.8176673253377279
A_baseline,42,0.25,164,0.8261191078594753,20,True,0.704847012247358,0.7798302911576771,0.8064428936867487,0.8261191078594753,0.8256624993823823,0.8270676277932667,,,,,,,,,
B_enc1,42,0.25,164,0.8399273554484049,34,True,0.7119052324976239,0.7901596256664821,0.8120869880630857,0.8239897546314058,0.8316502372423807,0.8318180924370175,0.8295318966820127,0.8215559664226714,,,,,,,
A_baseline,42,0.5,329,0.8447463540803819,15,True,0.8082103786014375,0.8257115312985012,0.8447463540803819,0.8321013280323574,0.8257002944038028,,,,,,,,,,
B_enc1,42,0.5,329,0.8412915354683286,21,True,0.7877999572526841,0.8196340203285217,0.8393134417988005,0.8260515218689328,0.8354964965865725,0.8401216069857279,,,,,,,,,
A_baseline,42,0.75,493,0.8438938629059565,19,True,0.8051188900357201,0.8301342640604291,0.8268797057015556,0.8341221099808103,0.8402706469808306,,,,,,,,,,
B_enc1,42,0.75,493,0.8536729301725116,31,True,0.8202988363447643,0.8196182676724025,0.8245158450944083,0.8274435173897516,0.8504512168112255,0.8500160660062518,0.8486638892264593,0.843120066892533,,,,,,,
A_baseline,42,1.0,658,0.846424693153018,8,True,0.8115822672843933,0.8336985764049348,0.823047989890689,,,,,,,,,,,,
B_enc1,42,1.0,658,0.8572715606008258,29,True,0.8102885172480628,0.828576215675899,0.8189286816687811,0.8499917473111834,0.8472980601446969,0.8436492823419117,0.8533545789264497,,,,,,,,
