condition,inject_layer,frob_L1_mean,frob_L1_std,frob_L2_mean,frob_L2_std,cosine_L1_mean,cosine_L1_std,cosine_L2_mean,cosine_L2_std
Baseline,none,0.014424,0.001330,0.024134,0.000624,0.999890,0.000019,0.999703,0.000008
Fourier-L1,layer1,0.012387,0.001488,0.023647,0.001665,0.999923,0.000013,0.999712,0.000037
Fourier-L2,layer2,0.016681,0.001372,0.029787,0.003328,0.999850,0.000021,0.999828,0.000015
KR-L1,layer1,0.011274,0.001050,0.024833,0.000550,0.999936,0.000011,0.999684,0.000021
KR-L2,layer2,0.016123,0.000944,0.020715,0.000799,0.999863,0.000017,0.999871,0.000005
