fraction_pct,condition,inject_block,enc1_conv0_frob,enc1_conv0_cosine,enc1_conv3_frob,enc1_conv3_cosine,enc2_conv0_frob,enc2_conv0_cosine
10,Rand-Enc1,enc1,0.002938,0.999995,0.018778,0.999819,0.005156,0.007812
25,Rand-Enc1,enc1,0.002868,0.999995,0.026009,0.999654,0.008017,0.007812
50,Rand-Enc1,enc1,0.002578,0.999995,0.031705,0.999477,0.011459,0.007812
75,Rand-Enc1,enc1,0.002358,0.999996,0.036781,0.999297,0.013662,0.007812
100,Rand-Enc1,enc1,0.002556,0.999996,0.022645,0.999737,0.006766,0.007812
