fraction_pct,baseline_frob,enc1l1_frob,delta_frob,baseline_cosine,enc1l1_cosine
10,0.000628,0.002057,0.001429,0.015625,0.999997
25,0.000774,0.002503,0.001729,0.015625,0.999996
50,0.001911,0.002046,0.000135,0.015622,0.999997
75,0.002414,0.002318,-0.000096,0.015620,0.999996
100,0.002331,0.002174,-0.000157,0.015620,0.999997
