fraction_pct,condition,inject_block,enc1_conv0_frob,enc1_conv0_cosine,enc1_conv3_frob,enc1_conv3_cosine,enc2_conv0_frob,enc2_conv0_cosine
10,Rand-Enc1,enc1,0.002011,0.999997,0.023322,0.999719,0.006958,0.007812
25,Rand-Enc1,enc1,0.002243,0.999997,0.033486,0.999418,0.011945,0.007812
50,Rand-Enc1,enc1,0.001810,0.999998,0.035401,0.999355,0.013119,0.007812
75,Rand-Enc1,enc1,0.002135,0.999997,0.040490,0.999179,0.016485,0.007812
100,Rand-Enc1,enc1,0.001979,0.999998,0.046654,0.998895,0.023764,0.007812
